Date,Price,Open,High,Low,Chg%
2011-04-14,1471.7,1456.8,1476,1452.7,0.0115
2011-04-15,1485.3,1477.6,1487.5,1473.2,0.0092
2011-04-18,1492.3,1486.3,1497.3,1477.5,0.0047
2011-04-19,1494.5,1493.3,1499.5,1489,0.0015
2011-04-20,1498.3,1494,1505.3,1494,0.0025
2011-04-21,1503.2,1503.7,1508.3,1501.7,0.0033
2011-04-25,1508.6,1513.3,1518,1502.8,0.0036
2011-04-26,1503,1501.5,1506.3,1495,-0.0037
2011-04-27,1516.7,1507.1,1512.8,1505.2,0.0091
2011-04-28,1530.8,1528.6,1536,1526.6,0.0093
2011-04-29,1556,1538.7,1568.7,1537.3,0.0165
2011-05-02,1556.7,1572.9,1576.6,1543.1,0.0004
2011-05-03,1540.1,1542.5,1547,1527.5,-0.0107
2011-05-04,1514.9,1535,1539,1506.2,-0.0164
2011-05-05,1480.9,1514.7,1520.7,1471,-0.0224
2011-05-06,1491.2,1473.2,1494.8,1472.3,0.007
2011-05-09,1502.9,1501.5,1512.8,1501.3,0.0078
2011-05-10,1516.6,1508.4,1516.9,1508.4,0.0091
2011-05-11,1501.1,1524,1524.1,1495.2,-0.0102
2011-05-12,1506.6,1492.1,1502.7,1484.8,0.0037
2011-05-13,1493.4,1503.5,1511.3,1490.2,-0.0088
2011-05-16,1490.4,1489.3,1494.9,1489.3,-0.002
2011-05-17,1479.8,1489.8,1491.8,1473,-0.0071
2011-05-18,1495.6,1496.4,1497,1496.3,0.0107
2011-05-19,1492.2,1491.5,1491.5,1491.5,-0.0023
2011-05-20,1508.8,1499,1513.3,1488.7,0.0111
2011-05-23,1515.3,1510.5,1513,1507,0.0043
2011-05-24,1523.2,1527.1,1527.1,1521.9,0.0052
2011-05-25,1526.6,1526.4,1527.5,1526.1,0.0022
2011-05-26,1522.8,1521.2,1521.2,1519.5,-0.0025
2011-05-27,1536.3,1519.4,1538.5,1518.4,0.0089
2011-05-31,1535.9,1536.7,1541.1,1532.4,-0.0003
2011-06-01,1542.4,1535.7,1550.6,1529.7,0.0042
2011-06-02,1532,1541.3,1544.5,1520,-0.0067
2011-06-03,1541.7,1534.7,1546.3,1525,0.0063
2011-06-06,1546.5,1542.9,1553.9,1542,0.0031
2011-06-07,1543.3,1545,1549.9,1537.2,-0.0021
2011-06-08,1538.1,1544.2,1544.2,1531.3,-0.0034
2011-06-09,1542.1,1536.1,1548.8,1534.4,0.0026
2011-06-10,1528.6,1543.7,1543.9,1526.4,-0.0088
2011-06-13,1515,1528.1,1533,1511.3,-0.0089
2011-06-14,1523.8,1517.2,1526.2,1513.1,0.0058
2011-06-15,1525.6,1525,1533.4,1515,0.0012
2011-06-16,1529.3,1526,1531.2,1522,0.0024
2011-06-17,1538.6,1523,1541.6,1523,0.0061
2011-06-20,1541.5,1536,1545.7,1535.2,0.0019
2011-06-21,1546,1540.1,1547.5,1540,0.0029
2011-06-22,1552.9,1547.2,1558.5,1544.4,0.0045
2011-06-23,1520.1,1547.2,1547.2,1514.7,-0.0211
2011-06-24,1500.5,1524.7,1525,1498.5,-0.0129
2011-06-27,1496,1503.5,1503.5,1490.7,-0.003
2011-06-28,1499.7,1499.9,1505,1496.1,0.0025
2011-06-29,1509.9,1504.1,1512.2,1504.1,0.0068
2011-06-30,1502.3,1511.5,1514,1498.8,-0.005
2011-07-01,1482.3,1502.2,1502.2,1480,-0.0133
2011-07-05,1512.3,1490.4,1515,1490.3,0.0202
2011-07-06,1528.7,1513.7,1532.8,1510.3,0.0108
2011-07-07,1530.2,1529.1,1533.1,1522.7,0.001
2011-07-08,1541.2,1527,1542.6,1526.6,0.0072
